VesselID	PositionX	PositionY	VEGFValue	Displacement	AnastomosisCount
4	23	35	0.5314	5.6569	0
4	23	35	0.5314	5.6569	0
4	24	36	0.5217	5.6569	0
4	24	36	0.5217	5.6569	0
4	24	37	0.5361	5.6569	0
4	24	37	0.5361	5.6569	0
4	25	38	0.6356	5.6569	0
4	25	38	0.6356	5.6569	0
4	26	39	0.6289	5.6569	0
4	26	39	0.6289	5.6569	0
4	27	38	0.4118	5.6569	0
4	27	38	0.4118	5.6569	0
4	28	38	0.6154	5.6569	0
4	28	38	0.6154	5.6569	0
4	27	37	0.4067	5.6569	0
4	27	37	0.4067	5.6569	0
4	26	37	0.5080	5.6569	0
4	26	37	0.5080	5.6569	0
4	25	37	0.2999	5.6569	0
4	25	37	0.2999	5.6569	0
4	24	38	0.1676	5.6569	0
4	24	38	0.1676	5.6569	0
4	23	39	0.2836	5.6569	0
4	23	39	0.2836	5.6569	0
4	22	38	0.4504	5.6569	0
4	22	38	0.4504	5.6569	0
4	21	38	0.4387	5.6569	0
4	21	38	0.4387	5.6569	0
4	21	39	0.4167	5.6569	0
4	21	39	0.4167	5.6569	0
4	22	39	0.3184	5.6569	0
4	22	39	0.3184	5.6569	0
5	20	20	0.1908	18.3576	3
5	20	19	0.8816	18.3576	3
5	20	19	0.8816	18.3576	3
5	21	18	0.5858	18.3576	3
5	21	18	0.5858	18.3576	3
5	22	19	0.4101	18.3576	3
5	22	19	0.4101	18.3576	3
5	23	19	0.5843	18.3576	3
5	23	19	0.5843	18.3576	3
5	23	18	0.2091	18.3576	3
5	23	18	0.2091	18.3576	3
5	24	17	0.7179	18.3576	3
5	24	17	0.7179	18.3576	3
5	24	18	0.1792	18.3576	3
5	24	18	0.1792	18.3576	3
5	24	19	0.3925	18.3576	3
5	24	19	0.3925	18.3576	3
5	24	20	0.3475	18.3576	3
5	24	20	0.3475	18.3576	3
5	24	21	0.5722	18.3576	3
5	24	21	0.5722	18.3576	3
5	25	21	0.1759	18.3576	3
5	25	21	0.1759	18.3576	3
5	25	20	0.1829	18.3576	3
5	25	20	0.1829	18.3576	3
5	26	20	0.3951	18.3576	3
5	26	20	0.3951	18.3576	3
5	25	19	0.2295	18.3576	3
5	25	19	0.2295	18.3576	3
5	25	18	0.0234	18.3576	3
5	25	18	0.0234	18.3576	3
5	26	17	0.2902	18.3576	3
5	26	17	0.2902	18.3576	3
5	27	18	0.4013	18.3576	3
5	27	18	0.4013	18.3576	3
5	27	17	0.3295	18.3576	3
5	27	17	0.3295	18.3576	3
5	28	16	0.2431	18.3576	3
5	28	16	0.2431	18.3576	3
5	29	15	0.2518	18.3576	3
5	29	15	0.2518	18.3576	3
5	30	16	0.2640	18.3576	3
5	30	16	0.2640	18.3576	3
5	31	15	0.1681	18.3576	3
5	31	15	0.1681	18.3576	3
5	31	14	0.2153	18.3576	3
5	31	14	0.2153	18.3576	3
5	31	13	0.2548	18.3576	3
5	31	13	0.2548	18.3576	3
5	30	13	0.2085	18.3576	3
5	30	13	0.2085	18.3576	3
5	29	12	0.2161	18.3576	3
5	29	12	0.2161	18.3576	3
5	29	11	0.1993	18.3576	3
5	29	11	0.1993	18.3576	3
5	29	10	0.2097	18.3576	3
5	29	10	0.2097	18.3576	3
5	30	9	0.2242	18.3576	3
5	30	9	0.2242	18.3576	3
5	31	10	0.2045	18.3576	3
5	31	10	0.2045	18.3576	3
5	32	10	0.1684	18.3576	3
5	32	10	0.1684	18.3576	3
5	31	9	0.1595	18.3576	3
5	31	9	0.1595	18.3576	3
5	31	8	0.1276	18.3576	3
5	31	8	0.1276	18.3576	3
5	31	7	0.0870	18.3576	3
5	31	7	0.0870	18.3576	3
5	30	6	0.1575	18.3576	3
5	30	6	0.1575	18.3576	3
5	30	5	0.1329	18.3576	3
5	30	5	0.1329	18.3576	3
5	29	4	0.1246	18.3576	3
5	29	4	0.1246	18.3576	3
5	28	4	0.1075	18.3576	3
5	28	4	0.1075	18.3576	3
5	27	5	0.1016	18.3576	3
5	27	5	0.1016	18.3576	3
5	26	6	0.1092	18.3576	3
5	26	6	0.1092	18.3576	3
5	27	7	0.0976	18.3576	3
5	27	7	0.0976	18.3576	3
5	28	7	0.0985	18.3576	3
5	28	7	0.0985	18.3576	3
5	28	8	0.0704	18.3576	3
5	28	8	0.0704	18.3576	3
5	29	8	0.0952	18.3576	3
5	29	8	0.0952	18.3576	3
5	29	7	0.0443	18.3576	3
5	29	7	0.0443	18.3576	3
5	28	6	0.0505	18.3576	3
5	28	6	0.0505	18.3576	3
5	27	6	0.0115	18.3576	3
5	27	6	0.0115	18.3576	3
5	26	5	0.0324	18.3576	3
5	26	5	0.0324	18.3576	3
5	25	5	0.0422	18.3576	3
5	25	5	0.0422	18.3576	3
5	24	6	0.0729	18.3576	3
5	24	6	0.0729	18.3576	3
5	23	6	0.0638	18.3576	3
5	23	6	0.0638	18.3576	3
5	23	5	0.0597	18.3576	3
5	23	5	0.0597	18.3576	3
5	24	5	0.0509	18.3576	3
5	24	5	0.0509	18.3576	3
5	23	4	0.0459	18.3576	3
5	23	4	0.0459	18.3576	3
5	22	5	0.0448	18.3576	3
5	22	5	0.0448	18.3576	3
5	22	6	0.0269	18.3576	3
5	22	6	0.0269	18.3576	3
5	21	7	0.0529	18.3576	3
5	21	7	0.0529	18.3576	3
5	20	8	0.0465	18.3576	3
5	20	8	0.0465	18.3576	3
5	21	9	0.0347	18.3576	3
5	21	9	0.0347	18.3576	3
5	22	10	0.0288	18.3576	3
5	22	10	0.0288	18.3576	3
5	23	10	0.0345	18.3576	3
5	23	10	0.0345	18.3576	3
5	23	9	0.0315	18.3576	3
5	23	9	0.0315	18.3576	3
5	24	9	0.0380	18.3576	3
5	24	9	0.0380	18.3576	3
5	24	10	0.0288	18.3576	3
5	24	10	0.0288	18.3576	3
5	23	11	0.0143	18.3576	3
6	30	30	0.4361	13.0384	2
6	31	30	0.9077	13.0384	2
6	31	30	0.9077	13.0384	2
6	30	31	0.6642	13.0384	2
6	30	31	0.6642	13.0384	2
6	29	31	0.4999	13.0384	2
6	29	31	0.4999	13.0384	2
6	28	30	0.8115	13.0384	2
6	28	30	0.8115	13.0384	2
6	27	31	0.3440	13.0384	2
6	27	31	0.3440	13.0384	2
6	26	31	0.5970	13.0384	2
6	26	31	0.5970	13.0384	2
6	26	30	0.5055	13.0384	2
6	26	30	0.5055	13.0384	2
6	26	29	0.4421	13.0384	2
6	26	29	0.4421	13.0384	2
6	25	28	0.3932	13.0384	2
6	25	28	0.3932	13.0384	2
6	24	28	0.3396	13.0384	2
6	24	28	0.3396	13.0384	2
6	23	29	0.5601	13.0384	2
6	23	29	0.5601	13.0384	2
6	22	30	0.4759	13.0384	2
6	22	30	0.4759	13.0384	2
6	23	31	0.4443	13.0384	2
6	23	31	0.4443	13.0384	2
6	24	31	0.4102	13.0384	2
6	24	31	0.4102	13.0384	2
6	24	30	0.3065	13.0384	2
6	24	30	0.3065	13.0384	2
6	23	30	0.2383	13.0384	2
6	23	30	0.2383	13.0384	2
6	22	29	0.0483	13.0384	2
6	22	29	0.0483	13.0384	2
6	21	30	0.2903	13.0384	2
6	21	30	0.2903	13.0384	2
6	20	29	0.2480	13.0384	2
6	20	29	0.2480	13.0384	2
6	19	28	0.2818	13.0384	2
6	19	28	0.2818	13.0384	2
6	19	27	0.2441	13.0384	2
6	19	27	0.2441	13.0384	2
6	19	26	0.2016	13.0384	2
6	19	26	0.2016	13.0384	2
6	19	25	0.2894	13.0384	2
6	19	25	0.2894	13.0384	2
6	20	24	0.2265	13.0384	2
6	20	24	0.2265	13.0384	2
6	21	23	0.2545	13.0384	2
6	21	23	0.2545	13.0384	2
6	22	22	0.2486	13.0384	2
6	22	22	0.2486	13.0384	2
6	22	23	0.1692	13.0384	2
6	22	23	0.1692	13.0384	2
6	23	24	0.1602	13.0384	2
6	23	24	0.1602	13.0384	2
6	23	25	0.1176	13.0384	2
6	23	25	0.1176	13.0384	2
6	22	25	0.1970	13.0384	2
6	22	25	0.1970	13.0384	2
6	21	25	0.1727	13.0384	2
6	21	25	0.1727	13.0384	2
6	20	26	0.1071	13.0384	2
6	20	26	0.1071	13.0384	2
6	20	27	0.0419	13.0384	2
6	20	27	0.0419	13.0384	2
6	20	28	0.0677	13.0384	2
6	20	28	0.0677	13.0384	2
6	21	29	0.0805	13.0384	2
6	21	29	0.0805	13.0384	2
