VesselID	X	Y	VEGF	Displacement	Anastomosis
1	9	22	0.1267	5.3852	0
1	9	22	0.1267	5.3852	0
1	9	21	0.0799	5.3852	0
1	9	21	0.0799	5.3852	0
1	10	20	0.0362	5.3852	0
1	10	20	0.0362	5.3852	0
1	11	20	0.1148	5.3852	0
1	11	20	0.1148	5.3852	0
1	10	19	0.0812	5.3852	0
1	10	19	0.0812	5.3852	0
1	10	18	0.0817	5.3852	0
1	10	18	0.0817	5.3852	0
1	11	17	0.0834	5.3852	0
1	11	17	0.0834	5.3852	0
1	12	18	0.0981	5.3852	0
1	12	18	0.0981	5.3852	0
1	13	18	0.0432	5.3852	0
1	13	18	0.0432	5.3852	0
1	12	17	0.0302	5.3852	0
1	12	17	0.0302	5.3852	0
1	11	16	0.0702	5.3852	0
1	11	16	0.0702	5.3852	0
1	10	15	0.0199	5.3852	0
1	10	15	0.0199	5.3852	0
1	9	14	0.0739	5.3852	0
1	9	14	0.0739	5.3852	0
1	8	13	0.0708	5.3852	0
1	8	13	0.0708	5.3852	0
1	7	12	0.0684	5.3852	0
1	7	12	0.0684	5.3852	0
1	7	11	0.0185	5.3852	0
1	7	11	0.0185	5.3852	0
1	8	10	0.0290	5.3852	0
1	8	10	0.0290	5.3852	0
1	9	9	0.0496	5.3852	0
1	9	9	0.0496	5.3852	0
1	10	9	0.0556	5.3852	0
1	10	9	0.0556	5.3852	0
1	10	10	0.0516	5.3852	0
1	10	10	0.0516	5.3852	0
1	11	10	0.0485	5.3852	0
1	11	10	0.0485	5.3852	0
1	11	9	0.0470	5.3852	0
1	11	9	0.0470	5.3852	0
1	12	8	0.0295	5.3852	0
1	12	8	0.0295	5.3852	0
1	12	7	0.0289	5.3852	0
1	12	7	0.0289	5.3852	0
1	11	7	0.0391	5.3852	0
1	11	7	0.0391	5.3852	0
1	11	6	0.0347	5.3852	0
1	11	6	0.0347	5.3852	0
1	12	5	0.0356	5.3852	0
1	12	5	0.0356	5.3852	0
1	13	5	0.0341	5.3852	0
1	13	5	0.0341	5.3852	0
1	12	4	0.0291	5.3852	0
1	12	4	0.0291	5.3852	0
1	11	5	0.0222	5.3852	0
1	11	5	0.0222	5.3852	0
1	10	5	0.0258	5.3852	0
1	10	5	0.0258	5.3852	0
1	9	4	0.0267	5.3852	0
1	9	4	0.0267	5.3852	0
1	9	5	0.0216	5.3852	0
1	9	5	0.0216	5.3852	0
1	9	6	0.0194	5.3852	0
1	9	6	0.0194	5.3852	0
1	8	7	0.0227	5.3852	0
1	8	7	0.0227	5.3852	0
1	7	8	0.0187	5.3852	0
1	7	8	0.0187	5.3852	0
1	6	9	0.0205	5.3852	0
1	6	9	0.0205	5.3852	0
1	5	8	0.0082	5.3852	0
1	5	8	0.0082	5.3852	0
1	4	7	0.0178	5.3852	0
1	4	7	0.0178	5.3852	0
1	4	6	0.0192	5.3852	0
1	4	6	0.0192	5.3852	0
1	5	5	0.0079	5.3852	0
1	5	5	0.0079	5.3852	0
1	6	5	0.0153	5.3852	0
1	6	5	0.0153	5.3852	0
1	6	6	0.0143	5.3852	0
1	6	6	0.0143	5.3852	0
1	6	7	0.0120	5.3852	0
1	6	7	0.0120	5.3852	0
1	6	8	0.0074	5.3852	0
1	6	8	0.0074	5.3852	0
1	7	9	0.0050	5.3852	0
1	7	9	0.0050	5.3852	0
1	8	9	0.0103	5.3852	0
1	8	9	0.0103	5.3852	0
1	7	10	0.0021	5.3852	0
1	7	10	0.0021	5.3852	0
1	8	11	0.0054	5.3852	0
1	8	11	0.0054	5.3852	0
1	9	12	0.0080	5.3852	0
1	9	12	0.0080	5.3852	0
1	10	11	0.0094	5.3852	0
1	10	11	0.0094	5.3852	0
1	11	11	0.0064	5.3852	0
1	11	11	0.0064	5.3852	0
1	10	12	0.0038	5.3852	0
1	10	12	0.0038	5.3852	0
